time_records,open,high,low,close,prediction,ticket,order price,prediction_s,high_dif_l,low_dif_l,y_l,high_dif_s,low_dif_s,y_s,result_l,result_s
4/4/2023 10:00,1980.832,1980.864,1977.814,1978.126,0,none,none,0,5.665,-1.23,1,5.665,-1.23,0,none,none
4/4/2023 11:00,1978.118,1980.747,1977.898,1979.782,0,none,none,0,4.435,-2.886,1,4.435,-2.886,0,none,none
4/4/2023 12:00,1979.751,1981.022,1978.152,1978.855,0,none,none,0,5.362,-1.959,1,5.362,-1.959,0,none,none
4/4/2023 13:00,1978.889,1982.373,1976.896,1981.598,0,none,none,0,2.721,-2.81,0,2.721,-2.81,0,none,none
4/4/2023 14:00,1981.558,1983.791,1978.788,1982.176,0,none,none,0,2.143,-3.665,0,2.143,-3.665,0,none,none
4/4/2023 15:00,1982.172,1984.217,1980.274,1980.688,0,none,none,0,4.976,-2.177,1,4.976,-2.177,0,none,none
4/4/2023 16:00,1980.665,1983.807,1980.207,1982.975,0,none,none,0,10.256,-4.464,0,10.256,-4.464,0,none,none
4/4/2023 17:00,1982.945,1984.319,1981.339,1982.151,0,none,none,0,42.764,-3.64,0,42.764,-3.64,0,none,none
4/4/2023 18:00,1982.118,1982.492,1978.511,1981.991,0,none,none,0,42.924,-0.513,1,42.924,-0.513,0,none,none
4/4/2023 19:00,1982.025,1985.664,1981.478,1983.641,0,none,none,0,41.379,-0.232,1,41.379,-0.232,0,none,none
4/4/2023 20:00,1983.632,1993.231,1983.409,1992.572,1,270406426,1992.635,0,32.448,-0.096,1,32.448,-0.096,0,TRUE,none
4/4/2023 21:00,1992.476,2024.915,1992.476,2016.119,1,270560250,2016.033,0,8.901,-0.513,1,8.901,-0.513,0,TRUE,none
4/4/2023 22:00,2016.149,2023.175,2015.606,2020.242,1,270582910,2020.336,0,4.778,-2.377,1,4.778,-2.377,0,TRUE,none
4/4/2023 23:00,2020.211,2025.02,2019.634,2020.734,0,none,none,0,1.737,-2.869,0,1.737,-2.869,0,none,none
4/5/2023 0:00,2020.745,2020.93,2017.865,2018.362,0,none,none,0,4.109,-0.474,0,4.109,-0.474,0,none,none
4/5/2023 1:00,2018.329,2021.581,2017.888,2021.291,0,none,none,0,2.333,-1.545,0,2.333,-1.545,0,none,none
4/5/2023 2:00,2021.324,2022.471,2020.333,2021.87,0,none,none,0,1.754,-2.49,0,1.754,-2.49,0,none,none
4/5/2023 3:00,2021.838,2022.061,2020.135,2020.389,0,none,none,0,3.235,-1.009,0,3.235,-1.009,0,none,none
4/5/2023 5:00,2021.087,2021.595,2019.746,2020.592,0,none,none,0,4.716,-1.212,1,4.716,-1.212,0,none,none
4/5/2023 6:00,2020.609,2023.624,2020.603,2021.771,0,none,none,0,3.537,-2.391,0,3.537,-2.391,0,none,none
4/5/2023 7:00,2021.785,2022.47,2019.38,2019.527,0,none,none,0,5.781,0.031,1,5.781,0.031,0,none,none
4/5/2023 8:00,2019.558,2021.906,2019.558,2020.545,0,none,none,0,4.763,-0.363,1,4.763,-0.363,0,none,none
4/5/2023 9:00,2020.506,2025.308,2020.182,2023.976,1,270783522,2024.106,0,2.347,-2.033,0,2.347,-2.033,0,FALSE,none
4/5/2023 10:00,2023.981,2024.079,2021.943,2023.04,0,none,none,0,5.361,-0.925,1,5.361,-0.925,0,none,none
4/5/2023 11:00,2023.031,2023.702,2022.115,2023.37,0,none,none,0,5.031,-0.547,1,5.031,-0.547,0,none,none
4/5/2023 12:00,2023.369,2024.82,2022.823,2024.264,0,none,none,0,4.137,-2.454,0,4.137,-2.454,0,none,none
4/5/2023 13:00,2024.325,2026.323,2022.986,2024.425,0,none,none,0,3.976,-2.638,0,3.976,-2.638,0,none,none
