datetime,open,high,low,close,open_lag1,open_lag2,open_lag3,open_lag4,open_lag5,high_lag1,high_lag2,high_lag3,high_lag4,high_lag5,low_lag1,low_lag2,low_lag3,low_lag4,low_lag5,close_lag1,close_lag2,close_lag3,close_lag4,close_lag5,EMAF,STO_K
2021-07-14 18:00:00,1826.878,1828.478,1825.468,1826.198,1827.368,1825.078,1823.688,1821.678,1822.498,1828.148,1827.288,1825.908,1825.348,1823.145,1826.848,1824.958,1823.438,1821.648,1819.978,1826.868,1827.228,1824.978,1823.688,1821.736,1813.1811954603188,83.3860617768936
2021-07-14 19:00:00,1826.198,1827.648,1825.448,1826.258,1826.878,1827.368,1825.078,1823.688,1821.678,1828.478,1828.148,1827.288,1825.908,1825.348,1825.468,1826.848,1824.958,1823.438,1821.648,1826.198,1826.868,1827.228,1824.978,1823.688,1813.617088944975,68.96772288695577
2021-07-14 20:00:00,1826.258,1827.528,1824.658,1824.878,1826.198,1826.878,1827.368,1825.078,1823.688,1827.648,1828.478,1828.148,1827.288,1825.908,1825.448,1825.468,1826.848,1824.958,1823.438,1826.258,1826.198,1826.868,1827.228,1824.978,1813.9924526468092,42.77646854264512
2021-07-14 21:00:00,1824.898,1829.025,1824.178,1827.508,1826.258,1826.198,1826.878,1827.368,1825.078,1827.528,1827.648,1828.478,1828.148,1827.288,1824.658,1825.448,1825.468,1826.848,1824.958,1824.878,1826.258,1826.198,1826.868,1827.228,1814.4429708919156,43.471277777460045
2021-07-14 22:00:00,1827.508,1827.968,1825.198,1825.778,1824.898,1826.258,1826.198,1826.878,1827.368,1829.025,1827.528,1827.648,1828.478,1828.148,1824.178,1824.658,1825.448,1825.468,1826.848,1827.508,1824.878,1826.258,1826.198,1826.868,1814.8208051955185,35.82385390866184
2021-07-14 23:00:00,1825.848,1826.048,1823.558,1825.478,1827.508,1824.898,1826.258,1826.198,1826.878,1827.968,1829.025,1827.528,1827.648,1828.478,1825.198,1824.178,1824.658,1825.448,1825.468,1825.778,1827.508,1824.878,1826.258,1826.198,1815.1760450223344,45.61073639667264
2021-07-15 00:00:00,1825.448,1826.978,1825.278,1826.158,1825.848,1827.508,1824.898,1826.258,1826.198,1826.048,1827.968,1829.025,1827.528,1827.648,1823.558,1825.198,1824.178,1824.658,1825.448,1825.478,1825.778,1827.508,1824.878,1826.258,1815.5421101882566,38.56266494692352
2021-07-15 01:00:00,1826.158,1829.858,1825.788,1828.925,1825.448,1825.848,1827.508,1824.898,1826.258,1826.978,1826.048,1827.968,1829.025,1827.528,1825.278,1823.558,1825.198,1824.178,1824.658,1826.158,1825.478,1825.778,1827.508,1824.878,1815.9882065153147,55.95612056175376
2021-07-15 02:00:00,1828.925,1832.488,1828.748,1831.058,1826.158,1825.448,1825.848,1827.508,1824.898,1829.858,1826.978,1826.048,1827.968,1829.025,1825.788,1825.278,1823.558,1825.198,1824.178,1828.925,1826.158,1825.478,1825.778,1827.508,1816.4905329648043,72.24503802253963
2021-07-15 03:00:00,1831.078,1833.976,1830.658,1830.658,1828.925,1826.158,1825.448,1825.848,1827.508,1832.488,1829.858,1826.978,1826.048,1827.968,1828.748,1825.788,1825.278,1823.558,1825.198,1831.058,1828.925,1826.158,1825.478,1825.778,1816.9627818659776,79.10943832570682
